frame,cx,cy
1092,466.125,512.75
1093,473.75,514
1094,480.5,517.5
1095,490.75,515
1096,495.25,514.5
1097,501,514.25
1098,505.5,511.75
1099,511.375,512.75
1100,519,513
1101,521.125,511.25
1102,525.125,510.25
1103,532,511
1104,539.25,510
1105,550.5,509
1106,554.75,509.25
1107,562.75,508.75
1108,571.125,506.75
1109,582.25,505.75
1110,586.375,503
1111,593.125,501.5
1112,608.75,497.75
1113,611.5,494
1114,615.75,491.75
1115,622.5,486.5
1116,630,483.75
1117,640.75,480.5
1119,646,466.75
1120,651.25,465
1121,654.25,462.25
1122,660,459.25
1123,671.25,455.25
1124,674.25,452.75
1125,676.5,450.75
1126,677.75,448.75
1127,680.25,442.75
1128,680.5,439
1129,678.25,432.25
1130,680.5,428.25
1132,700,419
1133,702.25,415.5
1135,706.25,408
1136,707,402.25
1137,712,399.75
1138,713,396.25
1139,707.75,390.75
1140,712.5,386.75
1141,713,383.5
1142,712.75,380.25
1143,707.75,375.75
1144,714,372.25
1145,716,370
1146,715.25,366.25
1147,715.5,362.25
1148,714.75,359.25
1149,714.25,356.75
1150,715.25,354
1151,716,351.75
1152,715.75,349.5
1153,717.5,347.5
1154,718.25,346
1155,719.25,344.5
1156,719.25,343
1157,718,341
1158,717.75,338.25
1159,716.75,335.5
1160,716.25,333.75
1161,716.75,332.5
1163,712.5,328.25
1164,712.5,326.75
1165,709.75,325
1166,706.5,323.75
1167,705,322
1168,703,320.5
1169,702.25,318.75
1170,701,318
1172,697.75,315.5
1173,698,314.75
1174,696.25,315.25
1175,695.25,315
1176,694.75,316
1177,692,316.5
1178,691,316
1179,689.25,316.25
1180,688.25,317
1181,687,318
1182,686,318.75
1183,686.25,319.25
1184,685,319.25
1185,683,318.5
1186,680.75,316.5
1187,680.25,315.25
1188,677.5,313.5
1189,678.5,310.75
1190,679.25,309
1191,677.75,307.25
1192,675.75,304.25
1193,676,301.5
1194,675.75,300
1195,675.25,297.5
1196,676.5,296
1197,676.75,292.5
1198,675,285.875
1199,676.25,281.25
1200,676.5,277.125
1201,676.25,271.75
1202,674.75,265.625
1203,675.5,262.5
1204,673.25,258.5
1205,671.5,252.25
1206,670.5,247.5
1207,668.25,241.5
1208,666,233.75
1209,664.25,229.5
1210,663.75,226.75
1211,663,220.25
1212,663.25,214.75
1213,659,211.125
1214,655.5,205.75
1215,652.75,199.625
1216,651,196.75
1217,648.75,192.5
1218,646,188.5
1219,640,183.75
1220,637,181.875
1221,634.25,178.625
1222,631.75,175.25
1223,629.5,173
1225,618.75,167.375
1226,615.75,162.25
1227,606.75,159.75
1228,600.25,157.125
1229,597.75,154.75
1230,589.5,148.875
1231,585.5,144.375
1233,570.25,140.5
1234,567.25,138
1235,558.75,134
1236,548,135.875
1237,544,133.875
1238,538.375,127.75
1239,535.75,126.125
1240,519.75,131.75
1241,515.25,131.5
1244,494.75,134.125
1245,489.5,133.75
1246,484.5,135
1247,482.25,137.25
1248,479.625,136.75
1250,466.25,139.75
1251,464.75,141.5
1252,463.125,145
1253,461.75,146.75
1254,460,148.25
1255,459,151.125
1256,459,153
1257,460.375,155.375
1258,460.5,158.5
1259,461.5,160.375
1260,462.5,162.75
1261,464,164
1262,465.375,166.375
1263,467.25,167.75
1264,469.5,170.25
1265,478.875,170.5
1266,479.75,172.25
1267,480.5,174.625
1268,481,175.375
1269,482.5,177.125
1270,483.5,178.5
1271,485.625,179.5
1272,487.5,180.875
1273,490.875,182.5
1274,493.75,184.75
1275,496.625,188.375
1276,500.75,190.5
1281,516.75,195.25
1282,518.5,195.875
1289,553.25,198.5
1294,586.875,207.625
1295,593.5,209.125
1296,600.25,211
1297,606,212.5
1298,612.5,212
1299,614.75,214
1300,616.5,216.5
1301,617.5,218.125
1302,618.75,220.25
1303,622.25,221.125
1304,625.75,222.625
1305,626,227.25
1306,628.25,227.875
1307,638.25,225.25
1308,641,225.625
1309,643.25,227
1310,645.25,231.875
1311,647.5,239.875
1312,649.25,244.75
1313,651,248.125
1314,655.25,252.625
1315,656.5,259
1316,660,262.375
1317,662.5,266
1318,664.25,268.625
1319,665.25,272.375
1320,671.25,274.375
1322,671.25,283
1323,671.75,284.625
1324,673.75,286.75
1325,678.75,287.75
1326,684.5,288.75
1327,692.75,290.25
1328,703.75,289.5
1329,710,289.75
1330,716.75,289.75
1331,726,290.75
1332,735.75,291
1333,740.25,292.5
1334,743,293.25
1335,748.25,294.25
1336,753,293.875
1337,757,293.25
1338,758.75,291.5
1339,766.5,288
1341,778.5,276.75
1342,778.75,274
1343,778.75,272.25
1344,770,273.125
1345,769.75,270
1346,769.75,267.125
1347,769,263.5
1348,768,260.5
1349,766.25,259
1354,746,237.75
1355,739.25,236
1356,736.5,230.5
1357,732,222
1359,729,212.75
1360,727.25,207.25
1361,726,204.125
1363,724.5,196.75
1364,724.25,193.25
1365,725.5,189.25
1367,722.5,185.625
1368,719.75,183.625
1369,717.75,182.5
1370,715.75,182.5
1372,713,188
1373,713,191.625
1374,713.25,195.75
1376,713.25,205.25
1377,713.25,210.25
1379,713.75,221.25
1380,714.75,225.125
1381,716.5,230.375
1382,718.5,235.5
1383,719,239.75
1384,721,242.75
1385,723.5,248.125
1387,726.75,253.625
1388,728.25,257.75
1389,731,262.5
1390,735.25,266.625
1392,744,272.75
1393,747,277.75
1394,751.25,281.375
1396,761.25,285.375
1397,766.5,288.25
1398,767.75,293.375
1399,771.5,295.25
1400,778.5,297.75
1401,793.5,295.375
1402,799.75,296.5
1403,801.75,298
1404,805.75,297.625
1405,823,293.75
1406,827.75,292.75
1407,833.75,294
1408,838.25,292
1409,853,284.25
1411,863.5,279.75
1412,869.5,277
1413,875.75,273.75
1414,883.25,268.75
1416,890.5,262.25
1417,894.5,259
1418,900,253.5
1420,904.5,245.75
1421,905.75,241.25
1422,907,237.25
1423,908.25,232.25
1424,908.5,228.75
1425,908,225.75
1426,907.25,221.125
1427,907.5,216.25
1428,907,212.25
1429,906.25,208.25
1430,905.25,203.25
1431,905.5,199.25
1432,903.5,200.375
1433,902.75,191.75
1434,901.25,186.25
1435,899,182
1436,897.5,178.5
1437,895,170.5
1438,893.25,166.125
1439,892,162.5
1440,891,155.875
1441,889,150.75
1442,885.5,147.5
1443,881,143.75
1444,877.75,137
1445,874.5,132.875
1446,869,129.375
1447,863.75,124.125
1448,860.5,120
1449,857.5,114.5
1450,852.75,110.375
1451,847.25,107.75
1452,843.25,104.25
1453,837.25,103.5
1454,831.25,99.625
1455,827.75,94.375
1456,824.5,90.375
1457,820.5,89.125
1458,815.75,87.375
1459,812.25,82.625
1460,808.5,75.375
1461,803,73.625
1462,797.5,72.875
1466,779,61.875
1467,770,60.25
1521,508.5,54.875
1527,495.375,61.5
1528,494.125,63.75
1529,491.125,66.625
1530,489.375,70.75
1531,487,72
1532,484,76
1533,480.75,79.75
1534,480.125,82.125
1535,478.5,85.75
1536,477.25,89.125
1537,477,92
1538,477.125,95.5
1539,476,98.875
1540,475.5,100.875
1541,475.75,103.25
1542,475.625,105
1543,475.25,106.75
1544,475.25,109.125
1545,476.25,112.125
1546,476.375,113.75
1547,477,115.75
1548,478,117
1549,478.875,119.5
1550,479.625,125.125
1552,479.625,133.375
1553,479.5,139
1554,480,142.25
1559,486.5,161.625
1560,488.75,165
1561,490.375,168.25
1562,491,171
1565,494,183
1566,494.75,185.75
1567,500.125,190
1568,501.5,192.5
1569,503.375,194.375
1570,505.25,197.625
1571,507,199.625
1572,507.5,201.75
1573,513.5,206.5
1574,514.375,211.5
1578,521.25,224.125
1579,522.25,225.75
1580,523.5,227
1581,525,230.125
1582,527,232
1583,528.625,234.25
1584,529.5,236
1585,537,238
1592,563.25,263.875
1595,578.5,262.5
1596,581.5,261.875
1597,583.75,260.375
1598,587.25,263.125
1599,590.75,257.625
1600,594.25,260.75
1601,596.25,260.125
1603,611,255.25
1604,613.5,255.375
1605,617,255.75
1606,621.25,258.375
1607,625,258.25
1608,627.75,261.25
1609,641.75,258.375
1610,645,260.25
1611,648,264.25
1612,653.25,266.5
1616,675.5,255.5
1618,683.25,248.625
1619,686,248.25
1623,696,243.75
1624,696.75,243.125
1625,697.75,242.75
1626,699.25,242.875
1627,701,242.75
1628,702.75,243.25
1629,704,243.875
1630,707.25,244.75
1631,707.25,245.25
1632,707.5,246
1633,707.5,246.25
1634,707.75,247
1635,708,248.125
1636,706.25,248
1637,709.25,252.875
1638,710,255.5
1639,711.25,259.625
1640,712.5,262.75
1641,713.75,265
1642,714.5,266.875
1643,716.5,266.25
1644,715.75,277
1646,718,279
1647,717.75,281.125
1648,715.75,289.75
1649,717.25,288.5
1650,716.25,291.5
1651,715,294.5
1652,714.5,297.5
1653,714.25,304.75
1654,713.5,307
1655,708.75,315.5
1656,706.75,319.5
1657,705.5,323.25
1658,704.5,325.5
1659,703.5,328.75
1662,697,335.75
1663,696,337.75
1667,685.25,349.5
1668,683.25,351
1669,680.5,351.5
1670,679,351
1671,678,351
1672,678,350.5
1673,678,348.5
1674,678.75,344.75
1675,679.75,342
1676,681.25,336.75
1677,682.75,330.75
1678,684.25,326
1679,686,323
1680,687.25,317
1682,688,304.75
1683,687.25,297
1684,686,292.25
1685,684,286.875
1686,681.25,283
1687,679,275.375
1688,677,266.5
1689,674.5,262.25
1693,654.25,243.5
1694,649.5,239.5
1695,646,236
1696,643.5,233
1697,640.5,231.75
1698,634.25,227.5
1699,632.25,223.75
1700,630.25,221.25
1701,620.5,223.5
1703,614.5,218.625
1704,612.5,216.75
1708,594.25,212.5
1709,592.5,209.875
1710,588.75,208.25
1711,586,205.25
1712,583,204
1713,581.25,202.5
1714,578.75,201
1715,572.125,200.125
1717,562.75,202.5
1718,561.75,202.25
1719,559.75,203.125
1720,557.375,203.375
1721,553.875,204.75
1722,550.75,205.875
1723,548.75,207
1726,537,210.25
1727,534.875,211.5
1728,528.375,216
1739,495.75,225.25
1740,494.25,228
1741,491.875,229.5
1743,488.75,233.625
1744,487.75,235.375
1754,483.75,262.5
1762,477.75,280.25
1763,477.5,281.25
1771,482.125,293.25
1772,482.5,293.5
1773,482.25,294.125
1774,482.75,295.75
1775,483.125,296
1776,484.25,297.5
1777,485.5,299.125
1778,487.125,300.5
1779,488.125,301.5
1780,489.75,304.5
1781,491,306.625
1782,493,308.5
1783,495,310.875
1784,496.75,310.5
1788,512.375,317.75
1789,513.75,316
1790,518.125,319.75
1791,519.875,320.25
1792,524.75,322.5
1793,527.625,323.75
1794,530.625,325.75
1795,534.5,327.5
1796,537.875,329.75
1797,546,330.5
1798,549,333.5
1799,554.125,338
1800,557.5,341.75
1801,560.625,344.25
1802,564.625,345
1803,569.5,346.75
1804,577,346.75
1805,580,346
1806,582.5,345.25
1807,585.5,344.75
1808,589,345.25
1809,592.5,346.5
1810,597.5,346.75
1811,602,346.5
1812,609.5,344.5
1813,610.75,343.25
1814,613,343.25
1815,615.25,341.25
1816,617.25,339.25
1817,619.75,337.75
1818,623.25,337.25
1819,627,336.75
1820,631.25,336
1821,633.75,336
1822,635.75,335.25
1823,642.75,333.5
1824,645,332.25
1825,647.5,332.75
